Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Super Berry Granola,Bio & Me,A,Céréales,382.0,9.7,12.0,1.7,0.04,15.0,11.0,30.0
Muesli,Bjorg,A,Céréales,352.0,14.0,5.8,0.9,0.03,10.0,11.0,29.4375
Chick Peas in Salted Water,KTC,A,Légumineuses,116.0,0.2,2.2,0.3,0.27,3.5,7.3,99.7755051134946
Simply porridge oats,Lidl,A,Céréales,368.0,1.0,8.5,1.25,0.025,9.0,12.0,0.0
Muesli Swiss Style,Harvest Morn,A,Céréales,362.0,12.4,4.89,0.889,0.0222,16.0,11.3,18.0
Chickpeas in water,"Sainsbury's, Greencane paper",A,Légumineuses,122.0,0.5,1.42,0.167,0.025,6.08,7.67,80.0
Flocons d'avoine complets,Terres & Céréales BIO,A,Céréales,371.0,0.9,7.0,1.3,0.01,10.0,12.0,0.0
Baked Beans,Branston,A,Légumineuses,85.0,4.7,0.6,0.1,0.6,5.9,4.6,94.7312400212879
Raisin Wheats,Kellogg's,A,Céréales,359.0,13.0,1.8,0.2,0.01,7.6,11.0,23.0
Tomatocy French Puy & Green Lentils,Merchant Gourmet,A,Légumineuses,142.0,3.3,4.1,0.7,0.00175,3.3,8.3,91.025
Protein packed lentil cakes,Kallo,A,Légumineuses,379.0,1.52,1.52,0.0,0.0,7.58,27.3,85.0
Baked Beans in a Rich Tomato Sauce,Bramwells,A,Légumineuses,91.0,4.8,0.5,0.1,0.53,4.7,4.7,93.278463648834
Chickpeas In Water,Tesco,A,Légumineuses,115.0,0.333,2.25,0.333,0.0833,6.92,6.75,80.0
BEANZ In a rich tomato sauce,HEINZ,A,Légumineuses,79.0,5.0,0.2,0.1,0.6,3.7,4.7,94.8582848837209
Granola baja en azúcares,Hacendado,A,Céréales,477.0,4.7,22.7,3.5,0.02,8.5,13.6,7.0
Haricots verts SRP 4/4,Bonduelle,A,Légumes,20.0,0.5,0.1,0.1,0.58,3.5,1.6,92.9829160160924
Three Bean Salad in Water,Tesco,A,Légumineuses,108.9,0.3,0.5,0.1,0.0123,7.1,6.7,73.6842105263158
Copos de trigo espelta integral 0%,Hacendado,A,Céréales,364.0,1.9,2.7,0.2,0.78,8.8,14.6,0.0
