Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Céréales Miel Pops,Kellogg's,C,Céréales,384.0,22.0,1.5,0.1,0.4,4.6,5.2,0.0
Stone Baked Margherita Pizza,Tesco,C,Pizzas,260.0,3.4,7.4,3.4,0.8175,2.5,13.5,19.5234375
"Fruit, Nut and Seed Muesli",Sainsbury's,C,Céréales,389.0,19.3,11.0,2.7,0.02,8.8,10.1,42.0
Croustillant graines de courge et de tournesol,"Carrefour BIO, Carrefour",C,Céréales,425.0,15.0,14.0,1.9,0.02,6.2,11.0,15.775
Tesco Free From Red Berry Granola 350g,Tesco,C,Céréales,450.0,16.8,16.2,2.8,0.02,7.6,9.8,3.25
PROTEIN Crunch,Weetabix,C,Céréales,375.0,22.0,2.8,0.7,0.275,7.1,20.0,0.0
"Almond, Apple & Raisin Granola",deliciously ella,C,Céréales,433.0,18.0,14.0,2.7,0.04,8.3,10.7,19.58
Crousti fondant choco-noisettes,"Nestlé, Nat",C,Céréales,452.0,17.5,17.4,2.4,0.22,6.2,7.7,5.2
Jordans Country Crisp,Jordans,C,Céréales,465.0,18.0,20.0,2.6,0.03,6.1,11.0,16.25
Cereal Mix,Hacendado,C,Céréales,372.0,17.1,2.7,0.7,0.0,5.6,9.4,0.0
All Bran Original,Kellogg's,C,Céréales,334.0,18.0,3.5,0.7,0.95,27.0,14.0,0.0
coco pops,Kellogg's,C,Céréales,386.0,17.0,1.9,0.9,0.64,3.8,6.3,0.0
Country Crisp Fruits & Noix,Jordans,C,Céréales,443.0,22.0,16.0,1.9,0.05,6.1,9.6,16.125
Muesli avoine amandes chocolat,TERRES ET CÉRÉALES,C,Céréales,456.0,22.0,17.0,4.0,0.05,6.8,8.7,4.1
NESTLE NESQUIK Céréales 450g,"Nestlé, Nesquik",C,Céréales,377.0,22.4,2.8,1.1,0.22,8.6,8.5,0.0
Céréales Muesli croustillant au chocolat noir 500G,"U,U Bio",C,Céréales,395.0,19.0,11.0,2.6,0.15,8.1,9.0,0.0
"Raisin, Nut & Honey Granola",By Sainsbury's,C,Céréales,418.0,21.3,11.1,2.67,0.000556,6.22,9.11,9.75
CHEERIOS BIO Céréale 375g,"Nestlé, Cheerios",C,Céréales,388.0,18.0,6.6,0.9,0.65,9.9,9.1,0.0
céréales Chocapic,Nestlé,C,Céréales,388.0,22.4,4.8,2.0,0.22,7.5,8.8,0.0
,QUAKER,C,Céréales,455.0,16.0,19.0,4.9,0.48,10.0,8.1,0.95
Muesli 4 Noix,"Marque Repère, Grainéa",C,Céréales,463.0,16.0,18.0,2.4,0.15,8.5,11.0,12.0
Special Flakes Chocolate Noir,Crownfield,C,Céréales,401.0,13.7,5.9,2.9,0.45,8.4,8.5,0.0
Super Nutty Granola,Jordans,C,Céréales,452.0,15.2,18.2,2.1,0.03,6.7,12.7,18.125
premium müsli,Crownfield (Lidl),C,Céréales,382.0,25.1,7.1,2.3,0.07,8.7,8.5,63.25
T&C Muesli croustillant avoine amandes sans gluten,Terres et Céréales BIO,C,Céréales,447.0,18.0,15.0,1.8,0.04,6.9,9.0,4.1875
Special K Red Berries,Special K,C,Céréales,390.0,16.0,1.4,0.3,0.725,6.6,8.0,4.5
Jordan's Super Berry Granola,Jordans,C,Céréales,420.0,18.0,12.0,1.6,0.03,6.7,11.0,10.5
Cheese & Tomato Pizza,Lidl,C,Pizzas,218.0,4.3,6.1,3.6,0.406,2.54,9.82,5.0859375
Corn flakes,Carrefour,C,Céréales,383.0,7.2,1.2,0.2,0.8,2.5,6.9,0.0
Rice krispies,Kellogg's,C,Céréales,389.0,7.9,1.2,0.4,1.0,2.9,7.0,0.0
Aldi Very Berry muesli,Specially Selected,C,Céréales,355.0,27.1,5.2,0.8,0.03,7.7,8.0,56.1875
Müesli Croustillant Fraise,GOLDEN BRIDGE,C,Céréales,431.0,21.0,12.0,1.7,0.01,7.1,9.8,0.6875
Cheerios Multigrain,Nestlé,C,Céréales,383.33333333333,17.666666666667,5.0,1.0,0.83333325,9.0,9.3333333333333,0.0
Céréales Special K Kellogg's Nature,Kellogg's,C,Céréales,375.0,15.0,1.5,0.3,1.0,4.5,9.0,0.0
Special k,Kellogg's,C,Céréales,390.0,16.0,1.4,0.3,0.73,6.6,8.0,4.5
Muesli crisp 4 noix,Chabrior,C,Céréales,479.0,20.6,21.7,2.3,0.01,9.5,10.6,16.0
Special k,Kellogg's,C,Céréales,390.0,16.0,1.4,0.3,0.73,6.6,8.0,4.5
Céréales Special K Kellogg's Nature,Kellogg's,C,Céréales,375.0,15.0,1.5,0.3,1.0,4.5,9.0,0.0
Special K Granola con avena Dark chocolate,"K, Kellogg",C,Céréales,469.0,13.0,17.0,4.0,0.01,9.5,9.3,0.0
Coco Pops,Kellogg's,C,Céréales,386.0,17.0,1.9,0.9,0.65,3.8,6.3,0.0
Muesli CroustillantNoix,Auchan,C,Céréales,453.0,18.0,17.0,1.9,0.03,5.9,9.7,18.625
Quaker Cruesli Chocolat noisette,"Cruesli,PepsiCo,QUAKER,Quarker",C,Céréales,446.0,16.0,16.0,2.5,0.0,10.0,7.4,2.3203125
,,C,Céréales,9.0,8.9,1.2,0.8,0.0,0.0,2.3,0.0
Ancient Grains Probiotic Granola,Nature's Path Organic,C,Céréales,455.0,16.4,16.4,2.73,0.614,10.9,9.09,2.134375
Muesli de quinoa y chocolate,"Carrefour BIO, Carrefour",C,Céréales,424.0,16.0,12.0,4.4,0.08,6.8,9.1,0.0
Ristorante Pizza Funghi,Dr. Oetker,C,Pizzas,227.0,2.3,11.0,2.8,0.96,1.9,7.9,44.3922916666667
Muesli Crunchy,"Crownfield, Lidl",C,Céréales,445.0,16.0,15.8,3.0,0.00013,9.8,8.9,1.5
Multigrain Hoops,Crownfield,C,Céréales,376.0,17.7,2.7,0.4,0.6875,8.0,9.4,0.0
Pizza Mozzarella,Dr. Oetker,C,Pizzas,244.0,2.8,12.0,3.9,1.0,1.6,10.0,34.38671875
Dolce Pizza - Regina,Sodebo,C,Pizzas,179.0,1.7,3.7,2.2,1.2775,2.9,10.0,46.6
Muesli 4 nuts,Crownfield,C,Céréales,454.0,18.1,16.9,4.9,0.08,8.1,10.3,10.17
Ristorante Pizza Mozzarella,Dr. Oetker,C,Pizzas,259.0,3.35,12.0,3.83,0.942,2.22,11.4,29.6666564941406
Bio Knusper Müsli Früchte,"Crownfield,Lidl",C,Céréales,441.0,14.0,14.8,4.2,0.2,8.4,9.9,5.25833333333333
Original Nuts & Seeds imp,Lizi's,C,Céréales,471.0,7.2,22.6,5.0,0.03,7.3,12.5,17.75
Cereales special K original,Kellogg's,C,Céréales,392.0,15.0,1.3,0.3,0.84,6.0,8.0,0.0
High Protein Granola Nuts & Seeds,Lizi's,C,Céréales,450.0,12.0,17.0,3.2,0.61,6.8,27.0,22.0555555555556
GOLDEN SYRUP FLAVOUR MICROWAVEABLE OATS,QUAKER OAT SO SIMPLE,C,Céréales,375.0,17.8,6.39,1.11,0.549,7.22,8.89,0.0
FUEL10K Protein Boosted Chunky Chocolate Granola imp,Fuel,C,Céréales,442.0,17.6,13.6,2.8,0.04,6.4,15.8,2.19642857142858
Rice Snaps,Tesco,C,Céréales,387.0,5.0,1.33,0.333,0.658,1.67,8.0,0.0
NESTLE CHOCAPIC Céréales 750g,Nestlé,C,Céréales,388.0,22.4,4.8,2.0,0.22,7.5,8.8,0.0
Harvest Morn Granola Raisin & Almond,"Aldi,Harvest Morn",C,Céréales,427.0,18.7,12.0,1.56,0.0222,6.89,11.1,12.75
"Granola Coconut, Cashew & Almond",Crownfield,C,Céréales,427.0,15.5,12.5,2.2,0.05,7.6,9.3,35.0
Knusper Müsli Schoko,"Crownfield, Lidl",C,Céréales,447.0,13.7,16.2,5.8,0.41,9.1,10.9,0.0906808035714306
Pizza Cuite Sur Pierre - Margherita,"Alfredo,Lidl,Trattoria Alfredo",C,Pizzas,204.0,3.7,4.5,2.0,0.89,2.6,8.6,29.1
High Protein Granola Honey & Seed,Crownfield,C,Céréales,436.0,17.3,16.0,2.67,0.00156,5.56,24.9,19.4
"Muesli con quinoa, chía y chocolate negro",Hacendado,C,Céréales,416.0,18.0,13.0,4.3,0.11,10.0,9.8,0.0
pizza 4  saisons,Picard,C,Pizzas,191.0,2.7,7.2,2.6,0.835,2.7,6.7,44.7563186813187
Fiorentina Sourdough Pizza,Crosta & Mollica,C,Pizzas,230.0,1.6,8.4,2.9,1.0825,1.8,8.8,25.1125
Croustillant chocolat,Bjorg,C,Céréales,433.0,14.0,14.0,3.8,0.28,9.8,9.8,0.3125
Honey Granola,Dorset Cereals,C,Céréales,494.0,12.6,26.7,2.7,0.03,7.0,13.1,47.5
Margherita Sourdough Pizza,Crosta & Mollica,C,Pizzas,230.0,2.5,7.3,3.0,1.18,2.3,10.0,16.615
Muesli croustillant duo pépites,Terres et céréales bio,C,Céréales,433.0,25.0,13.0,3.8,0.05,7.6,9.2,0.125558035714292
Fruit & Fibre,Harvest Morn,C,Céréales,366.0,21.5,4.7,2.9,0.43,8.7,8.8,24.2424242424242
Special k Red berries imp,Kellogg's,C,Céréales,390.0,16.0,1.4,0.3,0.73,6.6,8.0,4.5
FRUIT & FIBRE FRUITY CRUNCH,TESCO,C,Céréales,367.0,22.0,5.1,2.9,0.5,9.8,9.4,27.0
quaker golden syrup,Quacker (Oat So Simple),C,Céréales,375.0,21.1,5.79,1.05,0.43,6.32,13.2,0.0
cornflakes,Sainsbury's,C,Céréales,382.0,4.2,1.0,0.4,0.835,2.3,7.4,0.0
Muesli Crunchy 4 noix,muesly,C,Céréales,458.0,18.0,18.0,1.8,0.06,6.1,10.0,11.0
Céréales complètes au chocolat noir intense,Bjorg,C,Céréales,460.0,17.0,19.0,6.6,0.17,9.1,9.6,2.27596153846154
Coco pops,Kellogg's,C,Céréales,386.0,17.0,1.9,0.9,0.65,3.8,6.3,0.0
Muesli croustillant tradition,Terres et Céréales,C,Céréales,440.0,20.0,13.0,1.7,0.05,5.9,9.1,0.0
Margherita Sourdough Pizza,Crosta & Mollica,C,Pizzas,232.0,2.53,7.3,3.33,1.17,2.28,10.4,16.70625
Cherry Bakewell Oat Boosts,Graze,C,Céréales,437.0,12.7,22.3,3.67,0.2,15.3,6.33,36.3255208333333
Classic Margherita Mozzarella & Tomato Pizza,Pizza Express,C,Pizzas,251.0,3.27,8.33,3.84,0.875,2.45,12.5,18.06103515625
Pizza Base with Tomato Sauce,Crosta & mollica,C,Pizzas,227.0,4.2,3.4,0.57,1.2,3.0,7.0,27.5
,"Hacendado, Mercadona",C,Céréales,367.0,26.0,9.3,5.1,0.11,7.8,6.8,47.0
Ristorante PIZZA TONNO,Dr. Oetker,C,Pizzas,232.0,3.1,10.0,2.7,0.925,0.0,10.0,33.225
Ristorante Pizza Vegetale,Dr. Oetker,C,Pizzas,193.0,3.5,7.9,2.6,0.97,2.0,6.7,46.0445638020833
Dolce pizza prosciutto,Sodebo,C,Pizzas,205.0,2.0,5.0,3.3,1.1,2.1,12.0,15.1896362304688
Rice Krispies,Kellogg's,C,Céréales,389.0,7.9,1.2,0.4,1.0,2.9,7.0,0.0
rice crispies,Kellogg’s,C,Céréales,390.0,8.0,1.33,0.333,0.983,3.0,7.0,0.0
Boule à pizza,croustipâte,C,Pizzas,225.0,2.1,0.5,0.5,1.4,1.4,7.2,0.0
Organic Gluten Free Mesa Sunrise,Nature's Path,C,Céréales,400.0,13.0,3.3,0.5,1.0,10.0,10.0,0.0
la Numero Uno Prosciutto & Funghi,ITALPIZZA,C,Pizzas,196.0,1.2,6.4,2.5,1.2,1.6,9.9,19.3157421875
Mini pizza nature,Bimbo,C,Pizzas,321.0,3.7,7.2,3.3,0.37,0.0,9.8,0.0
Pizza Rucola Ristorante,Ristorante,C,Pizzas,217.0,2.95,8.62,2.77,0.878,2.25,8.92,41.169921875
Cheese & tomato pizza,Tesco,C,Pizzas,283.0,3.1,7.1,3.0,0.865,3.0,12.4,0.0
Cornichons au vinaigre,Pikarome,C,Légumes,24.0,0.0,0.1,0.0,0.9,0.0,1.7,46.9594594594595
Maille Cornichons Extra-Fins L'Original Bocal 380g,Maille®,C,Légumes,22.0,0.5,0.5,0.1,2.4,2.7,1.2,57.15
Sweet & Fiery Beetroot,"Tesco finest, Tesco",C,Légumes,93.0,19.7,0.3,0.1,0.6,2.1,1.3,98.1875
Pizza Tonno,Dr. Oetkrt,C,Pizzas,227.0,3.0,9.7,2.9,0.98,2.2,10.0,0.0
Processed mushy peas with sugar and salt,"Aldi,Four Seasons",C,Légumes,75.0,0.9,0.5,0.1,0.43,2.5,4.7,0.0
Pizza pollo,Hacendado,C,Pizzas,216.0,2.2,6.7,3.7,1.1,0.0,12.3,16.4666666666667
Stonebaked Chicken And Pesto Pizza,Sainsbury's,C,Pizzas,230.0,4.07,6.93,2.47,0.878,2.07,12.8,23.8704427083333
Batchelors : Mushy Original,Batchelors,C,Légumineuses,88.0,1.4,0.4,0.2,0.45,3.9,5.9,98.8039521580863
Pizza Formaggi,Crosta&Mollica pizza formaggi,C,Pizzas,100.0,0.951,3.38,1.56,0.52,0.613,4.23,19.5625
Vegan pizza Bruschetta,Vemondo,C,Pizzas,162.0,3.8,2.8,0.4,0.866,2.31,5.0,48.40390625
Coop Irresistible Wood Fired Margherita,Coop,C,Pizzas,252.0,4.1,8.5,3.1,0.965,3.2,10.0,17.313232421875
Maille Cornichons Fins Bocal 300g,"Maille, Unilever",C,Légumes,13.0,0.7,0.5,0.1,2.3,0.5,0.6,54.15
Kimchi,Baxters,C,Légumes,42.0,5.4,0.6,0.2,1.92,3.4,2.0,92.75
Mushy peas,Princes Freshona,C,Légumes,77.0,1.1,0.4,0.1,0.44,2.9,4.5,0.0
Chucrut al estilo bávaro,Hengstenberg,C,Légumes,22.0,1.7,0.5,0.1,1.1,0.0,1.5,73.9
4-formaggi pizza,"Chef Select, Toque du Chef",C,Pizzas,218.0,3.3,6.7,4.4,0.86,1.9,10.2,12.75234375
Maille Cornichons Extra-Fins Offre Saisonnière Bocal 380g,Maille,C,Légumes,22.0,0.5,0.5,0.1,2.4,2.7,1.2,57.15
Cornichons Aigres-doux,Kühne,C,Légumes,30.0,4.7,0.2,0.1,1.6,0.0,0.9,74.0645161290322
TESCO Whole Pickled Gherkins in spirit vinegar,Tesco,C,Légumes,19.0,2.1,0.3,0.1,2.0,1.3,0.8,71.7090909090909
Dolce Pizza Toscana Légumes grillé Chèvre affiné,Sodebo,C,Pizzas,203.0,2.5,5.8,3.4,0.84,2.4,9.1,50.4666666666667
Томаты Протёртые,Mutti,C,Légumes,36.0,4.5,0.5,0.1,0.4925,0.0,1.6,0.0
Pizza fresca jamón y queso,Casa Tarradellas,C,Pizzas,56.0493827160494,0.395061728395062,1.85185185185185,0.839506172839506,0.925925925925925,0.0,3.45679012345679,4.52690972222222
Csemegeuborka,"Freshona, Sweet",C,Légumes,35.0,7.1,0.1,0.1,1.77,0.0,0.5,72.6573529411765
Cornichons au vinaigre,Freshona,C,Légumes,15.0,0.4,0.2,0.1,2.0,2.1,1.0,80.28
Fraich'up Italian Burger,"Nestlé, Buitoni, fraich'up",C,Pizzas,0.0,6.6,7.1,2.2,1.0,1.5,8.9,3.39
L’original,Maille,C,Légumes,13.0,0.7,0.5,0.1,2.3,0.5,0.6,54.15
Cornichons - extra fins au vinaigre,Freshona,C,Légumes,27.0,4.1,0.1,0.0,2.4,0.0,1.0,67.4440298507463
Semi-dried tomato pizza,"Deluxe,Lidl",C,Pizzas,246.0,4.7,8.0,3.8,0.71,3.2,11.2,19.2075
pizza,M&S,C,Pizzas,251.0,3.32,9.21,3.69,0.887,1.82,11.5,0.4435
Pizza Vesuvio,,C,Pizzas,207.0,2.4,3.9,2.2,0.93,0.0,9.4,0.616406250000001
Sauerkraut,Biona,C,Légumes,16.0,0.1,0.1,0.0,1.63,2.9,0.9,97.0
Pizza surgelée Royale,"Buitoni, Fraich'up",C,Pizzas,203.0,1.8,5.5,2.1,0.76,1.7,10.0,14.64875
,"Amora, Croq'Vert",C,Légumes,13.0,0.7,0.5,0.1,1.9,0.5,0.7,65.2692708333333
"Pizza base topped with tomato sauce, mozzarella and Cheddar cheese",Waitrose,C,Pizzas,261.0,2.8,8.2,3.8,0.88,2.1,13.2,9.0
Batchelors : Mushy Original,Batchelors,C,Légumes,88.0,1.4,0.4,0.2,0.45,3.9,5.9,98.8039521580863
Cheese and Tomato Pizza,Lidl,C,Pizzas,244.0,4.9,6.0,3.9,0.64,2.2,11.3,7.47234375
Steinofenpizza Thunfisch,"Lidl, Trattoria Alfredo",C,Pizzas,227.0,3.5,9.0,3.0,0.85,2.0,9.5,27.9107421875
Pâte à pizza ronde,Bimbo,C,Pizzas,284.0,2.2,5.3,2.9,0.6,0.0,9.9,0.0
Pizza Del Gusto Jambon cru,"Mix, Mix buffet",C,Pizzas,226.0,3.3,7.7,3.2,1.2,2.5,11.0,30.84
Lentilles cuisinées aux petits légumes,"Jardin bio, Jardin bio logique",C,Légumes,76.0,0.7,0.9,0.2,0.71,3.5,5.7,24.5485272815065
Pizza jamón y queso,Hacendado,C,Pizzas,224.0,1.6,7.5,3.4,0.00375,0.0,14.0,4.501875
"Pizza Royale cuite au feu de bois Édam, Jambon, Champignons",Carrefour,C,Pizzas,204.0,3.1,6.4,2.5,0.89,1.2,8.6,13.465625
"Pizza légumes grillés, chèvre cendré français, tomates marinées",Atelier Saint Georges,C,Pizzas,194.0,3.9,7.3,3.6,1.0,4.4,8.3,40.079837375217
Pizza Del Gusto Jambon cru,"Mix, Mix buffet",C,Pizzas,226.0,3.3,7.7,3.2,1.2,2.5,11.0,30.84
Gurkentopf,Kuhne,C,Légumes,33.0,5.7,0.1,0.1,1.7,1.3,0.9,73.714705882353
B.or cornichons e/f bc 360 g,"Bouton d'or,Les Mousquetaires,Sélection des Mousquetaires",C,Légumes,12.0,0.6,0.0,0.0,1.86,1.9,1.3,0.0
Gurken,Hacendado,C,Légumes,19.0,0.6,0.5,0.2,1.5,0.6,1.3,56.25
Roasted red peppers in brine and vinegar,Aleyna,C,Légumes,29.0,3.4,0.3,0.1,1.18,0.9,0.0,75.0
Cheese and Tomato Pizza,Lidl,C,Pizzas,244.0,4.9,6.0,3.9,0.64,2.2,11.3,7.47234375
Pepinillos agridulces,Hacendado,C,Légumes,56.0,11.0,0.5,0.4,2.2625,1.0,0.9,100.0
Organic kimchi,Biona Organic,C,Légumes,28.0,2.4,0.2,0.0,1.81,2.1,1.2,99.0940625
Pizza,Tesco,C,Pizzas,242.0,2.07,6.53,3.13,0.852,2.2,10.0,7.48116629464286
Petit Croquants,Kühne Kühne,C,Légumes,33.0,4.8,0.5,0.2,1.5,0.0,1.5,72.96
Crinkle Cut Beetroot in Sweetened Vinegar,Freshona,C,Légumes,63.0,0.0,0.5,0.0,1.73,0.0,1.0,73.6842105263158
Ristorante pizza Royale,docteur Oetker,C,Pizzas,223.0,2.4,9.4,3.6,1.1,2.2,11.0,30.9154761904762
4 stagioni,Carrefour,C,Pizzas,179.0,2.7,5.4,1.9,1.0,2.6,7.5,48.1531901041667
Green Lentils In Water,Tesco,C,Légumes,95.7,0.769,0.684,0.427,0.00855,5.81,6.24,80.0
Crousti Moelleuse EXTREME Américaine,Marie,C,Pizzas,234.0,2.1,7.8,2.7,1.0,2.0,10.0,15.225
Zuckermais Dose,"Aldi,King's Crown",C,Légumes,77.0,7.3,1.2,0.4,0.28,2.4,2.4,0.0
"Cornichons extra-fins au vinaigre bocal de 72cl, 360g",U,C,Légumes,18.0,0.7,0.5,0.1,2.0,1.9,1.2,87.4892148403796
"Pizza N°18 - Thon, Tomate, Olive",Picard,C,Pizzas,207.0,5.3,6.6,2.6,0.92,2.8,10.0,29.7075
Garlic mushroom & spinach pizza,Waitrose,C,Pizzas,216.0,3.75,6.58,2.89,0.942,2.38,9.37,20.5
Dolce Pizza Margherita,Sodebo,C,Pizzas,231.0,1.9,7.5,4.1,1.0825,3.5,11.0,22.865234375
Carciofini Rustici in Olio Di Semi di Girasole,Italiamo,C,Légumes,151.0,2.1,13.0,1.6,1.6,3.7,1.9,57.4
Ristorante Pizza Mozzarella Glutenfrei,Dr. Oetker,C,Pizzas,226.0,2.05,10.0,4.32,0.904,1.65,10.0,31.7547186061314
olives vertes dénoyautées,Auchan,C,Légumes,151.0,0.5,15.0,2.9,2.5,2.3,1.0,83.2116788321168
Pizza Prosciutto e Funghi,Gustavo Gusto,C,Pizzas,181.0,2.39,4.78,2.83,1.37,1.7,11.1,24.5625
Ristorante Pizza Pollo,Dr. Oetker,C,Pizzas,208.0,2.9,8.2,2.6,0.9825,1.8,8.8,33.5693637084961
Maille Mini Cornichons Petits Croquants Bocal 370g,Maille ®,C,Légumes,13.0,0.7,0.5,0.1,2.3,0.5,0.6,55.65
stonebaked pizza - Margherita,"Alfredo, Lidl, Trattoria - Alfredo",C,Pizzas,204.0,3.7,4.5,2.0,0.885,0.0,8.6,42.66875
Cornichons,Tesco,C,Légumes,16.0,0.4,0.3,0.1,1.02,1.3,1.5,11.6890909090909
Petits pois extra-fins,"Marque Repère, Notre Jardin",C,Légumes,88.0,3.6,0.5,0.2,0.65,4.4,5.8,84.0915676615474
Lentilles Cuisinées à l'Auvergnate,Raynal & Roquelaure,C,Légumineuses,110.0,1.2,3.6,1.4,0.8,3.6,6.6,31.95
Yankee,Inconnu,C,Légumineuses,571.42,3.57,50.0,7.14,1.975,7.14,25.0,95.4425
Les Tranches Végé Haricots Blancs,FLEURY MICHON,C,Légumineuses,135.0,0.5,6.0,0.4,1.8,4.2,8.1,30.812890625
Original Salted Peanuts,KP,C,Légumineuses,615.0,5.1,51.0,8.1,1.18,8.5,30.0,74.41
Gewürzgurken,Freshona,C,Légumes,33.0,5.6,0.1,0.1,1.5,1.5,1.0,72.6451612903226
Maille Mini Cornichons Petits Croquants Bocal 210g,Maille,C,Légumes,13.0,0.7,0.5,0.1,2.3,0.5,0.6,55.65
Соленые огурцы Augurken Cornichons zoetzuur/aigres-doux,Freshona,C,Légumes,33.0,4.5,0.1,0.1,1.25,1.5,1.0,73.3870967741936
PEANUTS ROASTED & SALTED,Alesto,C,Légumineuses,619.0,5.2,51.2,7.8,1.0,0.0,24.4,74.5
Pizza Crust Farmer,Sodebo,C,Pizzas,202.0,3.9,5.2,2.6,1.2,2.6,10.0,27.6503652597403
Green Lentils In Water,Tesco,C,Légumineuses,95.7,0.769,0.684,0.427,0.00855,5.81,6.24,80.0
Green Giant Sweetcorn,Green giant,C,Légumes,77.4,7.4,1.2,0.4,0.4,3.0,2.4,80.0
Lentilles cuisinées à l'Auvergnate,Raynal et Roquelaure,C,Légumineuses,99.0,0.8,3.2,1.1,0.6875,2.8,6.1,57.7426260704092
Poivrons grillés,Freshona,C,Légumes,39.0,6.1,0.5,0.5,1.16,0.9,0.6,79.9739921976593
Maïs doux croquant Bio,Freshona,C,Légumes,77.0,6.2,1.2,0.2,0.7,3.0,2.4,0.0
Maíz dulce,Juver,C,Légumes,76.0,5.8,1.7,0.4,0.5,3.7,2.8,0.0
Pizza 4 Saisons,Carte Nature,C,Pizzas,202.0,1.7,6.7,3.5,0.87,2.1,10.0,57.2427734375
Amora Croq'Vert Cornichons Extra-Fins Bocal 370g,Amora,C,Légumes,14.0,0.7,0.5,0.1,2.1,2.7,0.7,64.34
Pizza - Cheese & Tomato,"Aldi, Everyday Essentials",C,Pizzas,263.0,4.3,8.6,3.9,0.78,3.3,11.0,5.455078125
Cornichon pikarome,,C,Légumes,23.0,0.6,0.1,0.0,2.25,0.0,1.7,81.375
Cornichons mit Chili,Freshona,C,Légumes,49.0,8.8,0.1,0.0,1.3,1.7,1.2,75.9181818181818
Turini - Prosciutto mozzarella jambon cuit olives noires,"Marque Repère, Turini",C,Pizzas,222.0,2.0,8.7,3.2,1.4,2.0,11.0,74.153125
Amora Croq'Vert Cornichons Fins Bocal 540g,Amora,C,Légumes,14.0,0.7,0.5,0.1,2.1,2.7,0.7,64.34
Quatre fromages,Trattoria Alfredo,C,Pizzas,214.0,2.71,9.09,5.0,0.963,2.91,10.5,21.790625
,Lidl,C,Légumes,80.0,7.4,1.2,0.3,0.275,2.1,2.6,0.0
Stonebaked Pizza Ham,Trattoria Alfredo,C,Pizzas,212.0,3.5,6.4,2.5,0.98,2.0,10.5,22.12158203125
Piccalilli Extra,Heinz,C,Légumes,54.0,6.4000000953674,0.0,0.0,0.63,0.0,1.2000000476837,54.790188844053
Pizza Jambon supérieur Champignons Mozzarella,Mix Buffet,C,Pizzas,233.0,2.0,8.5,3.2,1.2,2.1,11.0,21.9216631944444
Cornichons mit Chili,Freshona,C,Légumes,49.0,8.8,0.1,0.0,1.3,1.7,1.2,75.9181818181818
Cornichons aigres-doux Recette Paysanne,Kûhne,C,Légumes,30.0,4.7,0.2,0.1,1.3,0.0,0.9,73.1117647058823
Pizza express margherita,Pizza Express,C,Pizzas,244.0,3.1,9.0,4.3,0.73,2.2,9.9,7.60080437911184
Mijoté de lentilles aux petits légumes d'aucy 380g,"D'aucy, Daucy",C,Légumes,92.0,1.9,3.6,2.4,0.74,2.9,4.4,80.0622212084347
Cornichons extra-fins,"Carrefour, Carrefour Classic'",C,Légumes,12.0,0.5,0.0,0.0,1.7,0.9,0.9,89.1980360065466
Pizza Margherita,"Carrefour BIO, Carrefour",C,Pizzas,249.0,2.8,9.3,3.9,0.83,2.1,9.7,30.9
"Pinsa, Tomato & Mozarella",Crosta&Mollica,C,Pizzas,240.0,2.12,9.0,3.9,1.09,1.2,9.3,28.0
Cornichons en tranches,Freshona,C,Légumes,36.0,7.0,0.1,0.0,0.983,1.2,0.4,53.1467013888889
Duo Fourré Goût Chocolat 🍫 Noisette 🥜,Belvita,D,Biscuits,447.0,27.7,15.0,5.14,0.514,5.53,7.51,0.0
Mini Bites Quinoa & Chía,Gullón,D,Biscuits,479.0,6.2,22.0,2.0,2.8,8.3,8.2,1.25
Cornichons,Star,D,Légumes,15.95,0.68,0.31,0.12,3.16,0.0,2.2,0.0
L'original - Jus de pomme pétillant,Champomy,D,Jus de Fruits,46.0,10.0,0.0,0.0,0.01,0.0,0.0,75.0
Rostoy melocotón 1l,Rostoy,D,Jus de Fruits,55.0,13.3,0.0,0.0,0.0,0.0,0.3,0.0
Gran Cereale Cioccolato,Gran Cereale,D,Biscuits,457.0,29.0,19.0,3.6,0.315,9.0,9.0,0.0
Scottish Rough Oatcakes,Tesco,D,Biscuits,448.0,0.8,17.3,6.4,1.4,9.6,10.7,0.0
Zumo pura naranja con pulpa,Hacendado,D,Jus de Fruits,44.0,9.3,0.1,0.0,0.0,0.8,0.7,75.0
CORN FLAKES 1kg,Kellogg's,D,Céréales,378.0,8.0,0.9,0.2,1.0825,3.0,7.0,0.0
Apple Juice,"Naturis, Solevita, Vitafit",D,Jus de Fruits,45.3,9.87,0.133,0.0667,0.0133,0.333,0.133,75.0
Molinetti,"Barilla,Mulino Bianco",D,Biscuits,467.0,21.0,19.0,3.2,0.69,6.0,8.0,0.0
Froot Loops,Kellogg's,D,Céréales,385.0,25.0,3.0,0.9,1.13,4.3,8.3,0.0
Zumo pura naranja,Hacendado,D,Jus de Fruits,44.0,9.3,0.1,0.0,0.0,0.6,0.7,75.0
Ronditas 32% Chocolate,Gullón,D,Biscuits,513.0,0.645,25.2,10.6,0.632,4.84,7.1,0.0
Belvita petit déjeuner goût noisette et chocolat,"Belvita, LU",D,Biscuits,452.0,26.0,15.0,1.8,0.9,4.3,7.6,2.5
SIMON LIFE,Don Simón,D,Jus de Fruits,20.0,4.8,0.0,0.0,0.075,0.0,0.1,14.4
Frosties,Kellogg's,D,Céréales,375.0,37.0,0.6,0.1,0.83,2.0,4.5,0.0
